code,name,py_code,delete_flag
auspost,澳大利亚邮政,,0
aae,AAE,,0
anxindakuaixi,安信达,,0
huitongkuaidi,百世汇通,,0
baifudongfang,百福东方,,0
bht,BHT,,0
youzhengguonei,包裹/平邮/挂号,,0
bangsongwuliu,邦送物流,,0
cces,希伊艾斯,,0
chuanxiwuliu,传喜物流,,0
datianwuliu,大田物流,,0
debangwuliu,德邦物流,,0
dpex,DPEX,,0
dhl,DHL-中国件,,0
dhlen,DHL-国际件,,0
dhlde,DHL-德国件,,0
dsukuaidi,D速快递,,0
disifang,递四方,,0
ems,EMS,,0
emsen,EMS-国际件,,0
ems,E邮宝,,0
fedex,Fedex-国际件,,0
fedexcn,Fedex-中国件,,0
fedexus,Fedex-美国件,,0
feikangda,飞康达物流,,0
feikuaida,飞快达,,0
rufengda,凡客如风达,,0
fengxingtianxia,风行天下,,0
feibaokuaidi,飞豹快递,,0
ganzhongnengda,港中能达,,0
guotongkuaidi,国通快递,,0
guangdongyouzhengwuliu,广东邮政,,0
youzhengguonei,挂号信,,0
youzhengguonei,国内邮件,,0
youzhengguoji,国际邮件,,0
gls,GLS,,0
gongsuda,共速达,,0
huitongkuaidi,汇通快运,,0
huiqiangkuaidi,汇强快递,,0
tiandihuayu,华宇物流,,0
hengluwuliu,恒路物流,,0
huaxialongwuliu,华夏龙,,0
tiantian,海航天天,,0
haiwaihuanqiu,海外环球,,0
hebeijianhua,河北建华,,0
haimengsudi,海盟速递,,0
huaqikuaiyun,华企快运,,0
canpost,加拿大邮政,,0
canpostfr,加拿大邮政,,0
jiajiwuliu,佳吉物流,,0
jiayiwuliu,佳怡物流,,0
jiayunmeiwuliu,加运美,,0
inguangsudikuaijian,京广速递,,0
jixianda,急先达,,0
jinyuekuaidi,晋越快递,,0
jietekuaidi,捷特快递,,0
jindawuliu,金大物流,,0
jialidatong,嘉里大通,,0
kuaijiesudi,快捷速递,,0
kangliwuliu,康力物流,,0
kuayue,跨越物流,,0
lianhaowuliu,联昊通,,0
longbanwuliu,龙邦物流,,0
lanbiaokuaidi,蓝镖快递,,0
lejiedi,乐捷递,,0
lianbangkuaidi,联邦快递,,0
lianbangkuaidien,联邦快递,,0
lijisong,立即送,,0
longlangkuaidi,隆浪快递,,0
menduimen,门对门,,0
meiguokuaidi,美国快递,,0
mingliangwuliu,明亮物流,,0
ocs,OCS,,0
ontrac,onTrac,,0
quanchenkuaidi,全晨快递,,0
quanjitong,全际通,,0
quanritongkuaidi,全日通,,0
quanyikuaidi,全一快递,,0
quanfengkuaidi,全峰快递,,0
sevendays,七天连锁,,0
rufengda,如风达快递,,0
haihongwangsong,山东海红,,0
shentong,申通快递,,0
shunfeng,顺丰速递,,0
shunfengen,顺丰速递-国际,,0
santaisudi,三态速递,,0
suer,速尔物流,,0
shenghuiwuliu,盛辉物流,,0
shengfengwuliu,盛丰物流,,0
shangda,上大物流,,0
saiaodi,赛澳递,,0
sxhongmajia,山西红马甲,,0
shenganwuliu,圣安物流,,0
suijiawuliu,穗佳物流,,0
tiandihuayu,天地华宇,,0
tiantian,天天快递,,0
tnt,TNT,,0
tnten,TNT-国际,,0
tonghetianxia,通和天下,,0
ups,UPS,,0
upsen,UPS-国际,,0
usps,USPS,,0
youshuwuliu,优速物流,,0
wanjiawuliu,万家物流,,0
wanxiangwuliu,万象物流,,0
weitepai,微特派,,0
xinbangwuliu,新邦物流,,0
xinfengwuliu,信丰物流,,0
xingchengjibian,星晨急便,,0
xinhongyukuaidi,鑫飞鸿,,0
cces,希伊艾斯,,0
neweggozzo,新蛋奥硕物流,,0
hkpost,香港邮政,,0
yuantong,圆通速递,,0
yunda,韵达快运,,0
yuntongkuaidi,运通快递,,0
youzhengguonei,邮政小包,,0
youzhengguoji,邮政小包,,0
yuanchengwuliu,远成物流,,0
yafengsudi,亚风速递,,0
yibangwuliu,一邦速递,,0
youshuwuliu,优速物流,,0
yuanweifeng,源伟丰快递,,0
yuanzhijiecheng,元智捷诚,,0
yuefengwuliu,越丰物流,,0
yuananda,源安达,,0
yuanfeihangwuliu,原飞航,,0
yitongfeihong,一统飞鸿,,0
zhongxinda,忠信达快递,,0
zhimakaimen,芝麻开门,,0
yinjiesudi,银捷速递,,0
zhaijisong,宅急送,,0
zhengzhoujianhua,郑州建华,,0
coe,中国东方,,0
zhongtong,中通速递,,0
zhongtiewuliu,中铁物流,,0
ztky,中铁快运,,0
zhongyouwuliu,中邮物流,,0
zhongsukuaidi,中速快件,,0
zhongtianwanyun,中天万运,,0
